0	0	
0.5	0	
0.5	11	
0	11	
0	0	


0	0	
0.5	0	
0.5	11	
0	11	
0	0	


0.5	0	
12.5	0	
12.5	0.5	
0.5	0.5	
0.5	0	


0.5	0	
12.5	0	
12.5	0.5	
0.5	0.5	
0.5	0	


2.5	10.5	
15	10.5	
15	11	
2.5	11	
2.5	10.5	


2.5	10.5	
15	10.5	
15	11	
2.5	11	
2.5	10.5	


15	0	
15.5	0	
15.5	11	
15	11	
15	0	


15	0	
15.5	0	
15.5	11	
15	11	
15	0	


2.5	0.5	
3	0.5	
3	2.5	
2.5	2.5	
2.5	0.5	


2.5	0.5	
3	0.5	
3	2.5	
2.5	2.5	
2.5	0.5	


2.5	4.5	
3	4.5	
3	8.5	
2.5	8.5	
2.5	4.5	


2.5	4.5	
3	4.5	
3	8.5	
2.5	8.5	
2.5	4.5	


3	4.5	
5.5	4.5	
5.5	5	
3	5	
3	4.5	


3	4.5	
5.5	4.5	
5.5	5	
3	5	
3	4.5	


5	2.5	
5.5	2.5	
5.5	4.5	
5	4.5	
5	2.5	


5	2.5	
5.5	2.5	
5.5	4.5	
5	4.5	
5	2.5	


5	7	
5.5	7	
5.5	10.5	
5	10.5	
5	7	


5	7	
5.5	7	
5.5	10.5	
5	10.5	
5	7	


5	2.5	
8	2.5	
8	3	
5	3	
5	2.5	


5	2.5	
8	2.5	
8	3	
5	3	
5	2.5	


5.5	7	
8	7	
8	7.5	
5.5	7.5	
5.5	7	


5.5	7	
8	7	
8	7.5	
5.5	7.5	
5.5	7	


7.5	3	
8	3	
8	7	
7.5	7	
7.5	3	


7.5	3	
8	3	
8	7	
7.5	7	
7.5	3	


10	0.5	
10.5	0.5	
10.5	8	
10	8	
10	0.5	


10	0.5	
10.5	0.5	
10.5	8	
10	8	
10	0.5	


10	8	
13	8	
13	8.5	
10	8.5	
10	8	


10	8	
13	8	
13	8.5	
10	8.5	
10	8	


12.5	0	
13	0	
13	6	
12.5	6	
12.5	0	


12.5	0	
13	0	
13	6	
12.5	6	
12.5	0	


